artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
"0,52",Un roi de France vêtu d'un manteau fleurdelysé et portant le collier de l'ordre de saint Michel,135527,https://agorha.inha.fr/inhaprod/ark:/54721/003135527,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0070/FR75_0002_MUS_135527_1162_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,2e moitié du 16e siècle,"0,2","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,267","Génie tenant la lettre ""H"", les deux sceptres de France et de Navarre entourés d'une couronne de laurier, buste tourné vers la gauche",135290,https://agorha.inha.fr/inhaprod/ark:/54721/003135290,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0190/FR75_0016_MUS_135290_0243_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1597 - 1600,"0,318",Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,taillé,
"1,3","Madeleine Marchand (1603-1625), épouse de Nicolas Le Jay",135221,https://agorha.inha.fr/inhaprod/ark:/54721/003135221,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0164/FR75_0016_MUS_135221_0238_low.jpg,statue/priant,Département des sculptures du musée du Louvre (Paris),marbre,1628 - 1637,"0,645",Boudin - Thomas - sculpteur - Vers 1570 - 1637 - Vers 1570 - 1637 - Actif à Paris au XVIIe siècle,taillé,
"0,61",Retable de saint Pérégrin ou de saint Firmin,135021,https://agorha.inha.fr/inhaprod/ark:/54721/003135021,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0108/FR93_0001_REL_135021_0040_low.jpg,retable/haut-relief,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",pierre,1250 - 1260,"1,86","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
,La Crucifixion entre la Prédication de saint Pérégrin et la Décollation de saint Pérégrin,,,,,,,,,,,
69,"Sébastien Bourdon (1616-1671), peintre",135923,https://agorha.inha.fr/inhaprod/ark:/54721/003135923,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0160/FR75_0002_MUS_135923_1265_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,18e siècle - 19e siècle,68,Chaudet - Antoine-Denis - sculpteur/homme-femme de lettres/journaliste/historien.ne de l'art - 1763 - 1810 - 1763 - 1810 - Chaudet - Denis Antoine,taillé,
"0,155",Paire de gantelets,135364,https://agorha.inha.fr/inhaprod/ark:/54721/003135364,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0184/FR75_0016_MUS_135364_0005_low.jpg,statue/fragment,Département des sculptures du musée du Louvre (Paris),marbre,1571 - 1578,"0,35",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,34",Lion portant les armoiries du défunt,135378,https://agorha.inha.fr/inhaprod/ark:/54721/003135378,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0215/FR75_0016_MUS_135378_0154_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),albâtre,1523 - 1524,"0,53",Regnault - Guillaume - sculpteur - 1450 - Vers 1532 - 1450 - Vers 1532 - Régnault - Guillaume,taillé,
"1,27","Charlotte-Catherine de la Trémoille, princesse de Condé (1568-1629)",135279,https://agorha.inha.fr/inhaprod/ark:/54721/003135279,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0248/elem_0201/FR75_0002_MUS_135279_1195_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,Après 1629,"1,3",Guillain - Simon - sculpteur - 1581 - 26 décembre 1658 - 1581 - 26 décembre 1658 - Guillain - I - Simon,taillé,
1,"Pierre Séguier (Paris, 1588-Paris, 1672), chancelier",135286,https://agorha.inha.fr/inhaprod/ark:/54721/003135286,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0107/FR75_0016_MUS_135286_0111_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,1671 - 1673,"0,8",Hérard - Gérard Léonard - sculpteur - Vers 1630 - 1675 - Vers 1630 - 1675 - Herrard - Gérard Léonard,taillé,
"0,6",Armoiries de Louis de Ponchier,135387,https://agorha.inha.fr/inhaprod/ark:/54721/003135387,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0229/FR75_0016_MUS_135387_0208_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),albâtre,1523 - 1524,"0,395",Regnault - Guillaume - sculpteur - 1450 - Vers 1532 - 1450 - Vers 1532 - Régnault - Guillaume,taillé,
"0,95",Ange rappelant sur une tablette la mémoire du roi François II,135389,https://agorha.inha.fr/inhaprod/ark:/54721/003135389,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0231/FR75_0016_MUS_135389_0265_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre blanc,1563 - 1565,"0,55",Roussel - Frémin - sculpteur - Actif à Fontainebleau au XVIe siècle,taillé,
"0,456","Nymphe assise sur un vaisseau, tenant des fleurs de lys",135555,https://agorha.inha.fr/inhaprod/ark:/54721/003135555,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0089/FR75_0002_MUS_135555_1003_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),calcaire,2e quart du 16e siècle - 3e quart du 16e siècle,"0,26","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
,Nymphe de la Seine,,,,,,,,,,,
"0,99",Le Mariage de la Vierge et la Visitation,135634,https://agorha.inha.fr/inhaprod/ark:/54721/003135634,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0108/FR75_0002_MUS_135634_1022_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),calcaire/albâtre,1561,"0,395",,taillé,
1,La Circoncision et la Présentation au temple,135635,https://agorha.inha.fr/inhaprod/ark:/54721/003135635,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0109/FR75_0002_MUS_135635_1023_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),calcaire/albâtre,1561,"0,395",,taillé,
"0,34","L'évangéliste saint Matthieu sur la face principale, La Charité et la Justice sur les faces latérales",135637,https://agorha.inha.fr/inhaprod/ark:/54721/003135637,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0113/FR75_0002_MUS_135637_1027_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),calcaire/albâtre,1561,"0,21",,taillé,
"0,34","L'évangéliste saint Marc, l'inscription en lettres dorées et l'évangéliste saint Jean sur la face principale, La Force et la Foi (?) sur les faces latérales",135638,https://agorha.inha.fr/inhaprod/ark:/54721/003135638,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0116/FR75_0002_MUS_135638_1030_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),calcaire/albâtre,1561,"1,13",,taillé,
"0,655","Bataille donnée au duc Charles V en 1677 à Kokersberg (dit aussi Kochersberg), par François de Blanchefort de Créquy (ou Créqui) maréchal de France",135842,https://agorha.inha.fr/inhaprod/ark:/54721/003135842,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0230/FR75_0043_ADM_135842_0054_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),bronze,1695,"1,89",Coysevox - Antoine - sculpteur - 29 septembre 1640 - 10 octobre 1720 - 29 septembre 1640 - 10 octobre 1720 - Coyzevox - Antoine,,attribué à
"1,93",Un évêque debout,135020,https://agorha.inha.fr/inhaprod/ark:/54721/003135020,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0155/FR75_0016_MUS_135020_0162_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),pierre,2e moitié du 13e siècle,,"Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
,Saint Denis ?,,,,,,,,,,,
,Vierge de l'Immaculée Conception,135903,https://agorha.inha.fr/inhaprod/ark:/54721/003135903,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0074/FR75_0016_MUS_135903_0125_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,18e siècle,,Challes - Simon - sculpteur - 1719 - 1765 - 1719 - 1765 - Challe - Simon,taillé,
"0,48",La Foi (dans l'une des niches du soubassement),135382,https://agorha.inha.fr/inhaprod/ark:/54721/003135382,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0223/FR75_0016_MUS_135382_0212_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,1523 - 1524,"0,195",Regnault - Guillaume - sculpteur - 1450 - Vers 1532 - 1450 - Vers 1532 - Régnault - Guillaume,taillé,
"3,5","Colonne du mausolée de Louis de Cossé, duc de Brissac",135301,https://agorha.inha.fr/inhaprod/ark:/54721/003135301,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0195/FR75_0016_MUS_135301_0202_low.jpg,colonne/chapiteau,Département des sculptures du musée du Louvre (Paris),marbre,Après 1661,"0,465",Le Hongre - Étienne - sculpteur - 1628 - 1690 - 1628 - 1690 - Lehongre - Étienne,taillé,
"1,14",Génie funéraire,135302,https://agorha.inha.fr/inhaprod/ark:/54721/003135302,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0196/FR75_0016_MUS_135302_0197_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,Après 1661,"0,485",Le Hongre - Étienne - sculpteur - 1628 - 1690 - 1628 - 1690 - Lehongre - Étienne,taillé,
"0,19",Bandeau horizontal (fragment d'un bandeau horizontal en deux parties),135410,https://agorha.inha.fr/inhaprod/ark:/54721/003135410,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0139/FR75_0016_MUS_135410_0045_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"1,94","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,56",Feuillage et fleurs,135411,https://agorha.inha.fr/inhaprod/ark:/54721/003135411,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0241/FR75_0016_MUS_135411_0105_low.jpg,pilastre/fragment/bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"0,14",,taillé,
"0,85",La mort d'Ananie,135309,https://agorha.inha.fr/inhaprod/ark:/54721/003135309,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0131/FR75_0016_MUS_135309_0037_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),calcaire,1542 - 1543,"1,295",Marchand - François - sculpteur - 1551 - 1551 - Actif au XVIe siècle,taillé,
"1,1","Jules Hardouin, dit Hardouin-Mansart (Paris, 1646-Marly, 1708), architecte, surintendant des Bâtiments du roi, protecteur de l'Académie de peinture et de sculpture",135304,https://agorha.inha.fr/inhaprod/ark:/54721/003135304,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0198/FR75_0016_MUS_135304_0019_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,1703,"0,86",Lemoyne - Jean-Louis - sculpteur - 1665 - 1755 - 1665 - 1755 - Lemoine - Jean Louis,taillé,
"0,85",Ecce Homo,135310,https://agorha.inha.fr/inhaprod/ark:/54721/003135310,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0201/FR75_0016_MUS_135310_0022_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,1657,"0,68",Marsy - Gaspard - sculpteur/théoricien - 1624 - 10 décembre 1681 - 1624 - 10 décembre 1681 - 17e siècle - Marcy - II - Gaspard,taillé,
"0,712",Le Génie du printemps qui enchaîne de fleurs un signe du Zodiaque,135314,https://agorha.inha.fr/inhaprod/ark:/54721/003135314,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0061/FR75_0002_MUS_135314_0981_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,1779,"0,37",Monot - Martin-Claude - sculpteur - 1733 - 1803 - 1733 - 1803 - Monnot - Martin-Claude,taillé,
"1,99","Philippe de Morviller, premier président au Parlement de Paris de 1418 à 1436 (+ 25 juillet 1438)",135559,https://agorha.inha.fr/inhaprod/ark:/54721/003135559,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0022/FR75_0016_MUS_135559_0169_low.jpg,gisant,Département des sculptures du musée du Louvre (Paris),pierre/marbre,2e quart du 15e siècle,"0,57","Anonyme, Ile-de-France - sculpteur - 15e siècle",taillé,
"0,305",Quatre scènes de la Passion,135580,https://agorha.inha.fr/inhaprod/ark:/54721/003135580,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0043/FR75_0016_MUS_135580_0117_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),marbre,2e quart du 14e siècle,"0,095","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"0,353",Flagellation,,,,,,,,"0,115",,,
"0,31",Portement de Croix,,,,,,,,"0,325",,,
"0,33",Crucifixion,,,,,,,,"0,97",,,
"0,325",Mise au tombeau,,,,,,,,"0,32",,,
"1,469","Histoire de Samson : Samson et le lion, les colonnes du Temple de Gaza, la machoire d'âne, un Renard incendiaire, Samson et Dalila",135490,https://agorha.inha.fr/inhaprod/ark:/54721/003135490,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0057/FR75_0002_MUS_135490_1149_low.jpg,fragment/bas-relief/élément de baie,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"0,42",Anonyme italien - sculpteur,taillé,
"0,70","Encadrement de la tombe d'Henri Chabot, duc de Rohan (1616-1655) : rameaux de laurier à grains, entourés de bandelettes et semblant sortir d'un calice",135693,https://agorha.inha.fr/inhaprod/ark:/54721/003135693,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0080/FR75_0043_ADM_135693_0128_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,17e siècle,,Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,attribué à
"0,75",Personnage inconnu,135541,https://agorha.inha.fr/inhaprod/ark:/54721/003135541,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0140/FR75_0002_MUS_135541_1262_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,2e quart du 17e siècle - 3e quart du 17e siècle,"0,55","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
,"Henry de Fourcy, prévôt des marchands de Paris en 1687 (1626-1708)",,,,,,,,,,,
"0,53","Homme portant barbiche, de profil à droite",135542,https://agorha.inha.fr/inhaprod/ark:/54721/003135542,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0017/FR75_0016_MUS_135542_0164_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,1ère moitié du 17e siècle,"0,38","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,95","Epitaphe latine de Jean, Bernard, et Renaud de Dormans (+ 1380, 1381 et 1386)",135622,https://agorha.inha.fr/inhaprod/ark:/54721/003135622,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0071/FR75_0016_MUS_135622_0124_low.jpg,plaque funéraire/épitaphe,Département des sculptures du musée du Louvre (Paris),calcaire,4e quart du 14e siècle,"1,36","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"1,37",Victoire,135624,https://agorha.inha.fr/inhaprod/ark:/54721/003135624,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0054/FR75_0002_MUS_135624_1497_low.jpg,relief,Musée du Louvre (Paris),plâtre,1798 - 1816,"1,39",Cellini - Benvenuto - orfèvre/sculpteur - 3 novembre 1500 - 14 février 1571 - 3 novembre 1500 - 14 février 1571,patiné,d'après
"0,6","Armand Claude de Bullion, magistrat (1568-1640)",135696,https://agorha.inha.fr/inhaprod/ark:/54721/003135696,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0130/FR78_0001_MUS_135696_0141_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,17e siècle,"0,58",Collot - Pierre - architecte/sculpteur/peintre - Actif à Paris au XVIIe siècle,taillé,
"1,25",Vase orné de lambrequins,135544,https://agorha.inha.fr/inhaprod/ark:/54721/003135544,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0071/FR75_0002_MUS_135544_1490_low.jpg,vase,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1700,,"Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,59","Buste rétrospectif de Charles Rollin (1661-1741), historien, recteur de l'université de Paris",135546,https://agorha.inha.fr/inhaprod/ark:/54721/003135546,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0029/FR75_0016_MUS_135546_1449_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),plâtre,18e siècle - 19e siècle,"0,55",Jacquet - François-Henri - sculpteur - 1778 - Après 1848 - 1778 - Après 1848,,mouleur
"0,59",Femme de profil à gauche,135547,https://agorha.inha.fr/inhaprod/ark:/54721/003135547,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0142/FR75_0002_MUS_135547_1297_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,2e moitié du 18e siècle,"0,52","Anonyme, Ile-de-France - sculpteur - 18e siècle",taillé,
"0,74","Emmanuel-Théodose de La Tour d'Auvergne, cardinal de Bouillon (Turenne, 1643-Rome, 1715)",135629,https://agorha.inha.fr/inhaprod/ark:/54721/003135629,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0106/FR75_0002_MUS_135629_1020_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,17e siècle - 18e siècle,"0,73",Mazzuoli - Giuseppe - sculpteur - 1644 - 1725 - 1644 - 1725 - le Vieux - Mazzuola - Giuseppe,taillé,atelier de
